status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,present_residence,property,age,housing,number_credits,job,telephone,foreign_worker,credit_risk
4,24,4,3,7.895436006942965,0.6931471805599453,3,4,3,2,1,35,2,1.0986122886681098,2,1,2,1
2,12,4,2,8.193676665955241,0.6931471805599453,5,1,3,4,3,28,1,1.3862943611198906,3,2,2,1
4,12,4,3,7.163946684342547,0.6931471805599453,3,4,2,2,2,35,2,1.0986122886681098,3,1,2,1
4,24,2,2,8.287276755814599,0.6931471805599453,4,2,2,4,2,25,1,0.6931471805599453,3,2,2,1
4,15,4,2,8.114922974204593,0.6931471805599453,3,4,3,2,4,28,3,0.6931471805599453,3,2,2,1
3,15,2,6,5.973809611869261,0.6931471805599453,2,4,2,4,2,23,1,0.6931471805599453,3,2,2,1
4,9,4,0,7.666221925662725,0.6931471805599453,3,4,3,4,3,48,2,1.3862943611198906,3,2,2,1
4,30,4,3,8.660773919893762,0.6931471805599453,4,4,2,2,3,25,2,1.0986122886681098,3,1,2,1
4,6,4,3,7.232010331664759,0.6931471805599453,3,1,2,1,3,28,2,1.0986122886681098,3,2,2,1
3,36,2,3,8.674025985443025,0.6931471805599453,3,4,3,1,3,24,2,0.6931471805599453,3,1,2,1
1,12,2,0,7.113956109566034,0.6931471805599453,3,4,2,2,1,24,2,0.6931471805599453,2,1,2,0
3,12,2,3,7.168579897264035,0.6931471805599453,3,3,4,4,1,23,1,0.6931471805599453,3,1,2,1
4,24,2,3,8.082093278178382,1.3862943611198906,5,3,1,2,3,36,2,0.6931471805599453,4,2,2,1
2,12,4,1,7.498315870766981,1.0986122886681098,2,3,3,4,2,44,2,0.6931471805599453,3,1,2,1
4,9,2,4,7.1204443723924875,0.6931471805599453,2,1,2,4,1,23,1,0.6931471805599453,3,2,2,1
4,18,4,0,6.962243464266207,0.6931471805599453,2,4,2,1,2,30,2,1.0986122886681098,3,1,2,1
4,30,4,3,7.94873845481361,0.6931471805599453,3,4,2,2,3,33,2,0.6931471805599453,3,2,2,1
4,12,2,0,7.779466967458324,1.791759469228055,5,4,3,3,3,50,2,0.6931471805599453,3,2,2,1
4,24,2,3,7.550661243105336,1.0986122886681098,3,4,3,4,3,29,1,0.6931471805599453,4,2,2,1
2,36,2,6,8.21932609390609,1.791759469228055,3,2,4,2,3,27,2,0.6931471805599453,3,1,2,1
4,24,2,0,7.721348612617949,1.791759469228055,2,4,3,1,2,54,2,0.6931471805599453,3,1,2,1
4,12,2,3,7.141245122350491,0.6931471805599453,3,3,3,2,3,25,2,0.6931471805599453,3,1,2,1
4,18,4,2,7.505492274737424,0.6931471805599453,3,4,2,2,4,28,2,1.0986122886681098,3,1,2,1
4,12,2,3,7.669495251007694,1.0986122886681098,4,3,3,1,4,35,2,0.6931471805599453,3,1,2,1
2,15,2,3,7.275864600546533,1.791759469228055,2,4,3,1,2,23,2,0.6931471805599453,3,1,2,1
2,9,2,0,7.346010209913293,1.791759469228055,2,4,3,2,1,35,2,0.6931471805599453,1,1,2,1
4,10,2,1,7.973155433444133,1.791759469228055,2,1,2,4,1,31,1,0.6931471805599453,3,1,2,1
3,6,2,0,6.565264970035361,1.6094379124341003,2,2,4,2,1,27,2,0.6931471805599453,1,1,1,1
4,24,3,1,8.451053388911692,0.6931471805599453,4,3,3,3,3,35,2,1.0986122886681098,2,2,2,1
1,18,2,2,7.886081401775745,1.6094379124341003,3,4,3,2,3,28,2,0.6931471805599453,3,1,2,1
4,24,4,3,7.324489979348532,1.6094379124341003,3,4,2,1,1,43,2,1.0986122886681098,2,1,2,1
4,14,3,0,6.688354713946762,0.6931471805599453,3,4,3,2,3,27,2,1.0986122886681098,2,1,2,1
4,24,2,3,7.153833801578843,0.6931471805599453,5,4,3,1,1,36,2,0.6931471805599453,4,2,2,1
4,6,0,3,6.056784013228625,0.6931471805599453,5,4,4,4,3,39,2,0.6931471805599453,2,1,2,1
1,30,2,1,8.257904193465674,0.6931471805599453,3,4,1,4,2,40,2,0.6931471805599453,4,2,2,1
1,24,2,3,7.38025578842646,0.6931471805599453,5,4,2,4,3,55,2,0.6931471805599453,3,1,2,1
4,21,2,2,7.715123603632105,0.6931471805599453,5,4,3,2,1,50,2,1.0986122886681098,3,1,2,1
4,39,2,1,7.851661177889265,1.3862943611198906,3,4,3,4,3,24,2,0.6931471805599453,3,1,2,1
4,15,4,3,7.183111701743281,1.3862943611198906,3,2,4,2,2,47,2,1.0986122886681098,2,1,2,1
4,24,2,1,8.157370441186774,1.0986122886681098,4,3,2,4,3,23,2,0.6931471805599453,3,1,2,1
4,18,4,3,7.496097345175956,0.6931471805599453,3,4,3,2,3,24,2,1.0986122886681098,3,1,2,1
4,24,3,2,8.331345424845724,1.0986122886681098,3,2,3,3,2,35,2,1.0986122886681098,3,1,2,1
2,15,2,5,7.875499292445208,1.0986122886681098,3,3,2,2,1,25,2,0.6931471805599453,2,1,2,1
4,21,2,1,8.5657928612523,1.791759469228055,3,1,3,3,3,26,2,0.6931471805599453,3,1,2,1
4,12,2,3,6.690842277418564,0.6931471805599453,5,4,3,4,3,38,2,0.6931471805599453,3,1,2,1
4,36,2,3,8.18757739559151,0.6931471805599453,5,4,3,2,3,28,2,0.6931471805599453,3,1,2,1
4,36,4,1,8.65032450401942,1.6094379124341003,5,4,3,2,3,38,2,1.0986122886681098,4,2,2,1
1,15,3,2,8.200837258379849,0.6931471805599453,5,1,2,4,2,27,2,1.0986122886681098,2,1,2,1
4,10,4,2,7.671826797878781,0.6931471805599453,2,1,2,3,1,23,1,1.0986122886681098,3,1,2,1
1,10,2,3,7.7475968386928855,0.6931471805599453,5,3,3,4,1,52,2,0.6931471805599453,2,1,2,1
4,11,4,0,7.2399325913204695,0.6931471805599453,2,4,2,4,3,35,2,1.0986122886681098,4,1,2,1
3,10,2,2,7.151485463904735,0.6931471805599453,2,4,2,2,2,23,2,0.6931471805599453,3,1,2,1
4,9,2,2,7.1808311990445555,0.6931471805599453,5,1,3,4,3,20,2,0.6931471805599453,3,1,2,1
4,22,2,3,7.892078421248119,1.3862943611198906,5,3,3,4,3,40,2,0.6931471805599453,3,1,2,1
4,36,2,0,6.813444599510896,1.3862943611198906,5,4,3,4,2,36,2,0.6931471805599453,3,1,2,1
4,12,4,2,7.138073034044347,0.6931471805599453,2,2,2,4,2,22,1,1.0986122886681098,2,1,2,1
4,6,2,1,7.1204443723924875,1.3862943611198906,3,2,3,4,2,50,1,0.6931471805599453,3,1,2,1
4,6,2,5,6.493753839851686,1.3862943611198906,4,2,4,4,1,23,1,0.6931471805599453,2,1,2,1
4,24,2,2,7.950149887652018,1.3862943611198906,5,3,3,4,2,53,2,0.6931471805599453,3,1,2,1
4,24,2,1,7.890208213109961,0.6931471805599453,5,4,3,4,3,35,2,0.6931471805599453,4,2,2,1
1,24,2,3,8.205491613120236,0.6931471805599453,3,2,2,4,3,28,2,0.6931471805599453,3,1,2,1
3,9,2,3,7.027314514039777,1.0986122886681098,5,2,1,4,1,49,2,0.6931471805599453,3,1,2,1
3,12,2,2,7.719573989259581,0.6931471805599453,3,1,2,2,3,46,2,0.6931471805599453,2,1,2,1
4,12,2,1,8.450198322591959,1.791759469228055,2,1,2,4,3,20,1,0.6931471805599453,3,1,2,1
2,21,3,0,7.763871287820222,0.6931471805599453,3,1,1,4,2,47,2,1.0986122886681098,3,1,2,1
4,6,2,0,6.511745329644728,0.6931471805599453,1,1,2,4,1,54,2,0.6931471805599453,1,2,2,1
1,6,4,3,5.82600010738045,1.3862943611198906,5,4,3,4,3,52,2,1.0986122886681098,3,1,2,1
4,9,2,0,7.827240901752812,1.3862943611198906,5,2,3,4,4,51,3,0.6931471805599453,2,1,2,1
4,15,2,2,7.706162970199576,1.3862943611198906,3,2,2,4,3,20,1,0.6931471805599453,3,1,2,1
4,15,3,2,6.8679744089702925,1.6094379124341003,4,3,2,2,2,30,2,1.0986122886681098,3,1,2,1
4,9,2,2,7.741533589281828,1.0986122886681098,2,2,2,4,2,22,1,0.6931471805599453,3,1,2,1
2,12,2,2,6.891625897052253,1.6094379124341003,2,1,2,4,1,19,1,0.6931471805599453,2,1,2,1
4,18,3,3,7.749753406274437,0.6931471805599453,1,2,4,3,1,34,2,1.0986122886681098,3,1,2,1
3,24,2,2,8.229511118964457,0.6931471805599453,2,2,2,4,3,26,2,0.6931471805599453,3,1,2,1
3,9,2,3,6.61472560020376,0.6931471805599453,3,3,2,2,1,28,2,0.6931471805599453,2,1,2,0
4,24,2,0,7.293017679772782,1.0986122886681098,5,4,4,4,1,41,1,0.6931471805599453,2,1,2,1
1,21,2,3,7.865955413933502,0.6931471805599453,2,4,2,4,2,28,1,0.6931471805599453,4,2,2,1
2,24,2,0,7.091742115095153,0.6931471805599453,2,4,3,1,2,26,2,0.6931471805599453,3,1,2,1
3,12,2,3,8.012018239159062,0.6931471805599453,3,3,4,1,3,24,2,0.6931471805599453,3,1,2,1
4,15,4,3,7.215975002651466,0.6931471805599453,3,4,3,2,2,31,2,1.0986122886681098,3,1,2,1
4,24,4,0,7.160845906664299,1.6094379124341003,5,4,2,4,1,37,2,1.0986122886681098,3,2,2,1
4,10,2,0,7.257707677160043,1.0986122886681098,3,3,3,2,1,35,1,0.6931471805599453,2,1,1,1
4,18,2,0,7.887208585813932,1.791759469228055,4,4,3,3,2,32,2,0.6931471805599453,3,1,1,1
4,18,4,3,8.711278615130434,0.6931471805599453,5,3,3,4,3,33,2,1.0986122886681098,3,2,2,1
4,24,4,6,7.564238475170491,1.791759469228055,3,3,2,2,3,33,2,1.0986122886681098,3,2,2,1
4,18,4,3,7.785305182539862,0.6931471805599453,3,2,2,2,3,26,2,1.0986122886681098,3,1,2,1
4,6,4,3,7.349230824613334,0.6931471805599453,4,1,2,2,3,24,1,1.0986122886681098,3,2,2,1
4,22,2,0,7.157735484249907,1.791759469228055,4,4,2,4,2,25,1,0.6931471805599453,3,1,2,1
4,24,3,0,6.576469569048224,1.791759469228055,5,4,4,4,3,54,2,1.0986122886681098,3,2,2,1
4,12,2,1,7.254177846456518,1.6094379124341003,4,3,3,2,2,55,2,0.6931471805599453,3,1,1,1
4,18,4,1,8.080237416216702,1.791759469228055,1,2,3,4,4,38,2,0.6931471805599453,4,2,2,1
4,12,4,0,6.52649485957079,1.0986122886681098,4,4,2,3,3,51,2,1.0986122886681098,3,2,2,1
4,10,2,3,7.562681246721884,0.6931471805599453,3,1,3,4,2,38,2,0.6931471805599453,3,2,1,1
4,10,2,6,6.590301048196686,1.3862943611198906,5,4,3,4,4,46,3,0.6931471805599453,3,2,2,1
3,10,4,0,6.661854740545311,0.6931471805599453,5,4,3,4,4,63,3,1.0986122886681098,3,2,2,1
1,12,4,0,7.660114319173928,0.6931471805599453,3,4,3,2,2,30,2,1.0986122886681098,3,1,2,1
4,12,4,6,6.553933404025811,0.6931471805599453,3,4,3,2,3,32,2,1.0986122886681098,3,1,2,1
4,10,4,2,7.635303886259415,1.791759469228055,3,2,4,1,3,26,2,1.0986122886681098,3,1,1,1
3,18,2,0,7.581719640125308,0.6931471805599453,5,3,2,2,3,23,2,0.6931471805599453,4,1,2,1
4,15,4,0,8.526351129201004,1.791759469228055,5,1,2,4,3,59,2,0.6931471805599453,3,2,2,1
4,12,4,0,7.135687347028144,0.6931471805599453,5,4,3,4,1,61,2,1.0986122886681098,2,1,2,1
1,12,2,2,7.527793987721444,0.6931471805599453,2,4,2,1,3,22,1,0.6931471805599453,3,1,2,1
4,6,4,2,7.108244139731541,1.791759469228055,3,1,4,2,2,27,2,1.0986122886681098,3,1,2,1
4,9,2,2,7.236339342754344,0.6931471805599453,3,4,2,2,1,26,1,0.6931471805599453,3,1,2,1
4,12,2,3,7.731930721948486,1.791759469228055,3,4,3,4,4,37,3,0.6931471805599453,3,2,2,1
4,12,0,2,7.9229859587111955,0.6931471805599453,5,2,3,4,2,34,2,1.0986122886681098,3,1,2,1
3,24,2,3,7.138073034044347,1.3862943611198906,3,3,2,3,3,57,2,0.6931471805599453,2,1,2,1
1,15,2,0,7.247080584585756,0.6931471805599453,3,2,2,4,3,28,1,0.6931471805599453,3,1,2,1
1,24,2,2,8.013674142832684,0.6931471805599453,3,2,1,2,1,24,1,0.6931471805599453,2,1,2,1
4,24,4,3,7.8551570058813445,1.6094379124341003,5,2,3,2,3,34,2,0.6931471805599453,3,1,2,1
1,6,2,4,5.840641657373398,0.6931471805599453,2,4,2,1,1,27,2,0.6931471805599453,3,1,2,1
4,21,3,2,7.3727463664043285,1.0986122886681098,4,4,3,3,1,34,2,1.0986122886681098,4,1,2,1
1,27,2,3,8.136518252115291,0.6931471805599453,3,3,3,2,3,27,2,0.6931471805599453,4,1,2,1
1,12,0,5,7.011213987350367,0.6931471805599453,4,4,3,3,1,28,2,1.0986122886681098,3,1,2,0
2,27,3,1,8.693831965074693,0.6931471805599453,5,1,3,2,3,30,2,1.0986122886681098,4,2,2,1
4,30,4,3,8.816260208734581,1.791759469228055,4,2,3,3,2,36,2,1.0986122886681098,3,1,2,1
1,18,2,2,8.202756381655638,0.6931471805599453,2,1,2,4,3,22,1,0.6931471805599453,3,1,2,1
1,21,2,2,8.1886891244442,0.6931471805599453,4,1,2,4,3,26,1,0.6931471805599453,2,1,2,1
2,9,2,0,5.6240175061873385,0.6931471805599453,3,4,4,4,1,22,1,0.6931471805599453,2,1,2,1
4,42,4,2,8.304494897963567,1.3862943611198906,3,4,3,4,1,36,2,1.0986122886681098,3,2,2,1
2,9,2,3,6.129050210060545,0.6931471805599453,3,4,3,3,1,24,2,0.6931471805599453,3,1,2,1
2,9,2,2,6.823286122355687,0.6931471805599453,3,4,2,1,2,30,2,0.6931471805599453,3,1,2,0
3,10,2,4,7.111512116496157,0.6931471805599453,3,2,3,2,3,37,2,0.6931471805599453,3,2,2,1
1,24,2,1,7.9420068084898565,1.791759469228055,5,2,2,4,1,26,1,0.6931471805599453,3,1,2,1
4,15,2,1,8.016317898503415,0.6931471805599453,4,2,3,2,3,33,2,0.6931471805599453,3,1,2,1
3,6,4,6,6.954638864880987,0.6931471805599453,3,2,2,4,2,50,2,0.6931471805599453,2,1,2,1
4,15,4,3,7.294377299288821,0.6931471805599453,3,4,3,4,4,35,3,1.0986122886681098,3,2,2,1
2,9,2,3,7.095893221097532,0.6931471805599453,5,4,2,4,1,25,2,0.6931471805599453,3,1,2,1
2,24,3,3,8.764678074116606,0.6931471805599453,2,1,3,2,3,33,2,0.6931471805599453,3,1,2,1
4,12,3,1,7.315883504509785,0.6931471805599453,3,4,4,4,1,41,1,0.6931471805599453,3,1,2,1
2,12,2,0,8.712595487748722,0.6931471805599453,4,2,3,2,3,32,2,0.6931471805599453,3,1,2,1
1,6,2,1,7.210079628170788,1.3862943611198906,1,1,2,2,2,23,1,0.6931471805599453,1,2,2,1
4,24,2,3,8.065265208897733,0.6931471805599453,2,4,2,4,2,26,2,0.6931471805599453,3,2,2,1
4,18,2,3,8.432724034789787,0.6931471805599453,2,3,3,2,3,32,2,0.6931471805599453,3,2,2,1
4,15,2,1,8.446341450444287,0.6931471805599453,3,3,3,2,3,30,2,0.6931471805599453,3,2,2,1
4,13,2,3,7.251344983372214,1.0986122886681098,1,2,2,4,1,64,2,0.6931471805599453,3,1,2,1
4,12,4,3,6.884486652042782,1.791759469228055,5,4,3,4,3,35,2,1.0986122886681098,3,1,2,1
4,28,4,3,7.917171988845776,0.6931471805599453,5,4,3,2,3,29,2,1.0986122886681098,3,1,2,1
4,11,4,3,7.051855622955894,1.0986122886681098,1,4,2,4,1,57,2,1.3862943611198906,2,1,2,1
4,24,4,1,8.666474894131992,1.6094379124341003,3,4,3,2,1,27,2,1.0986122886681098,3,1,2,1
4,18,4,3,7.064759027791802,1.791759469228055,3,4,3,3,2,29,2,1.0986122886681098,3,2,2,1
4,12,2,3,6.655440350367647,0.6931471805599453,3,4,4,2,1,28,2,0.6931471805599453,3,1,2,1
